Sample	pycoQC_mqc-generalstats-pycoqc-passed_median_read_length	pycoQC_mqc-generalstats-pycoqc-all_median_read_length	pycoQC_mqc-generalstats-pycoqc-passed_reads	pycoQC_mqc-generalstats-pycoqc-all_reads	pycoQC_mqc-generalstats-pycoqc-passed_bases	pycoQC_mqc-generalstats-pycoqc-all_bases
21073LRa021L1_02202	5457.0	5020.0	5225692	5876726	48428440055	51999133078
21073LRa021L2_02379	5891.0	5499.0	3981957	4505672	37320214931	40478571798
21073LRa022L1_02187	4655.0	4360.0	6700638	7331403	54493465852	57678070644
21073LRa022L2_02375	6180.0	5789.0	5061894	5683763	41762504935	45038341193
21073LRa023L1_02203	4382.0	4018.0	5708508	6420613	45284521114	48637836317
21073LRa023L2_02380	6389.0	5889.0	4560361	5073175	44976757570	47836997297
21073LRa024L1_02191	5288.0	4870.0	5760398	6452980	48368255750	51824192891
21073LRa024L2_02378	5933.0	5457.0	3373498	3835813	30066392833	32545728359
21073LRa025L1_02204	5952.0	5453.0	6011900	6729256	54979379466	58796336344
21073LRa025L2_02381	8027.0	7419.0	3852943	4308463	42526059362	45407147504
21073LRa026L1_02188	8051.0	7224.0	4267543	4755489	45046576673	48046902902
21073LRa026L2_02376	8771.0	7806.0	2401907	2696723	27409553401	29246402229
21073LRa027L1_02189	8798.0	7861.0	5591390	6137894	61897785931	65536765131
21073LRa027L2_02358	5137.0	4669.0	4629180	5205878	47898384498	51248126327
21073LRa028L1_02190	7780.0	6822.0	3251834	3630183	34096728757	36157733136
21073LRa028L2_02377	7616.0	6765.0	1635000	1848403	18399695340	19635140887
