#Duplication rate	Coverage
1.0	5842790.0
2.0	184353.0
3.0	8355.0
4.0	2685.0
5.0	1365.0
6.0	898.0
7.0	598.0
8.0	448.0
9.0	326.0
10.0	281.0
11.0	197.0
12.0	153.0
13.0	134.0
14.0	114.0
15.0	86.0
16.0	65.0
17.0	66.0
18.0	52.0
19.0	39.0
20.0	31.0
21.0	36.0
22.0	28.0
23.0	25.0
24.0	25.0
25.0	13.0
26.0	20.0
27.0	17.0
28.0	11.0
29.0	6.0
30.0	7.0
31.0	8.0
32.0	11.0
33.0	7.0
34.0	9.0
35.0	3.0
36.0	6.0
37.0	4.0
38.0	7.0
39.0	6.0
40.0	4.0
41.0	3.0
42.0	3.0
43.0	5.0
44.0	9.0
45.0	5.0
46.0	6.0
47.0	7.0
48.0	2.0
49.0	4.0
50.0	142.0
