#GC Content (%)	Sample
1.0	1.4865427951841862E-5
2.0	1.82109382764602E-5
3.0	2.0514921801904905E-5
4.0	2.4670508525880513E-5
5.0	2.562787154330274E-5
6.0	2.782665034155819E-5
7.0	2.729010623289299E-5
8.0	2.57751581613677E-5
9.0	2.883661572257505E-5
10.0	3.2171605574474464E-5
11.0	3.9525416005003454E-5
12.0	5.341243999398524E-5
13.0	5.349660377573664E-5
14.0	4.47646114190284E-5
15.0	4.329174523837881E-5
16.0	4.78891918165493E-5
17.0	5.559017784680284E-5
18.0	6.826734747310818E-5
19.0	8.502646051435665E-5
20.0	1.216797874670934E-4
21.0	2.5726763986860644E-4
22.0	5.60457143155323E-4
23.0	4.727269211522026E-4
24.0	5.493580444368565E-4
25.0	0.0011779036870290661
26.0	0.0018613556767413484
27.0	0.003854427671923645
28.0	0.006805115175873426
29.0	0.011015355755623853
30.0	0.016388245336960903
31.0	0.022545667609893676
32.0	0.028933193662134787
33.0	0.035052668589970394
34.0	0.040849796233698124
35.0	0.046673866808059
36.0	0.05320570218458563
37.0	0.0597972202028467
38.0	0.06373850489753781
39.0	0.06949120458497351
40.0	0.06605592306664458
41.0	0.057470586099638156
42.0	0.050715253800670684
43.0	0.045371379683092426
44.0	0.04160532398200775
45.0	0.03803385494433234
46.0	0.03444143964547354
47.0	0.03070595643811007
48.0	0.02689558850593328
49.0	0.023112931498898145
50.0	0.019500222208164535
51.0	0.0177724554940081
52.0	0.012040302289792458
53.0	0.011189564263376542
54.0	0.009384514156626882
55.0	0.007943777499660899
56.0	0.006856370918960032
57.0	0.005832676321044977
58.0	0.004944106674731801
59.0	0.004239603219108949
60.0	0.0036224091665804604
61.0	0.0031098938176052806
62.0	0.0026710743800261753
63.0	0.002252107074467683
64.0	0.001861155787759689
65.0	0.0015352105019819362
66.0	0.0012805308984021853
67.0	0.0010544038577815986
68.0	8.258255470175023E-4
69.0	6.279038937563551E-4
70.0	4.951670894616708E-4
71.0	3.961694411765811E-4
72.0	3.21105868327047E-4
73.0	2.8420005002905595E-4
74.0	2.544060712890587E-4
75.0	2.313557155618927E-4
76.0	2.2487510436703458E-4
77.0	2.003203210410622E-4
78.0	1.4307842897738808E-4
79.0	1.035109310815089E-4
80.0	9.563109701503364E-5
81.0	7.97031013185803E-5
82.0	4.199772709395096E-5
83.0	2.8331633032066623E-5
84.0	2.6437947942660014E-5
85.0	1.3213713734970545E-5
86.0	4.544844214575856E-6
87.0	2.5564748706989196E-6
88.0	1.7674394167794993E-6
89.0	1.4623457079306572E-6
90.0	1.3361000353035502E-6
91.0	1.5044275988063598E-6
92.0	1.2834976717089223E-6
93.0	1.1256905809250383E-6
94.0	7.469535630437172E-7
95.0	6.94351199449089E-7
96.0	4.418598541948748E-7
97.0	5.049826905084284E-7
98.0	3.8925749060024697E-7
99.0	4.1029843603809817E-7
100.0	6.101874176976844E-7
