#Coverage (X)	Coverage
1.0	93.6254249670682
2.0	93.45914747878466
3.0	93.3412183086675
4.0	93.24246443273924
5.0	93.15082740415585
6.0	93.06435028228474
7.0	92.97859701947809
8.0	92.8919184303161
9.0	92.80444347060823
10.0	92.71140718294542
11.0	92.60900342292605
12.0	92.49121054992288
13.0	92.34442564185741
14.0	92.14488615177895
15.0	91.85730809587795
16.0	91.43272139901393
17.0	90.80326059519132
18.0	89.88799041027802
19.0	88.58563767734799
20.0	86.79122975937989
21.0	84.40252202234947
22.0	81.34046806469702
23.0	77.5602873778508
24.0	73.07348333519674
25.0	67.94093193345857
26.0	62.27298070711647
27.0	56.2078821974661
28.0	49.92695477679113
29.0	43.6236117453509
30.0	37.483098815752506
31.0	31.67144857293691
32.0	26.32013557001575
33.0	21.52130451253828
34.0	17.334928223581215
35.0	13.769903720237068
36.0	10.80075187824788
37.0	8.39142206266203
38.0	6.473078660532607
39.0	4.980672819694533
40.0	3.838604301479023
41.0	2.979117856054259
42.0	2.3424678865976176
43.0	1.8789360200878207
44.0	1.5438142272358277
45.0	1.3043050369492306
46.0	1.1330903925876328
47.0	1.0101353589628985
48.0	0.9209131365828682
49.0	0.8550547446019863
50.0	0.8042079679992895
51.0	0.7641466302795834
