#Duplication rate	Coverage
1.0	3852850.0
2.0	81937.0
3.0	3967.0
4.0	1754.0
5.0	931.0
6.0	568.0
7.0	411.0
8.0	264.0
9.0	215.0
10.0	153.0
11.0	131.0
12.0	97.0
13.0	84.0
14.0	65.0
15.0	47.0
16.0	45.0
17.0	31.0
18.0	39.0
19.0	34.0
20.0	35.0
21.0	31.0
22.0	22.0
23.0	22.0
24.0	22.0
25.0	10.0
26.0	11.0
27.0	10.0
28.0	9.0
29.0	11.0
30.0	10.0
31.0	11.0
32.0	10.0
33.0	9.0
34.0	9.0
35.0	8.0
36.0	2.0
37.0	5.0
38.0	3.0
39.0	2.0
40.0	5.0
41.0	5.0
42.0	6.0
43.0	5.0
44.0	3.0
45.0	5.0
46.0	4.0
47.0	1.0
48.0	2.0
49.0	2.0
50.0	91.0
