#Duplication rate	Coverage
1.0	1.0507321E7
2.0	254260.0
3.0	11431.0
4.0	4540.0
5.0	2349.0
6.0	1429.0
7.0	1025.0
8.0	691.0
9.0	522.0
10.0	450.0
11.0	346.0
12.0	283.0
13.0	251.0
14.0	210.0
15.0	188.0
16.0	176.0
17.0	149.0
18.0	103.0
19.0	105.0
20.0	78.0
21.0	87.0
22.0	88.0
23.0	63.0
24.0	63.0
25.0	49.0
26.0	39.0
27.0	42.0
28.0	36.0
29.0	38.0
30.0	19.0
31.0	26.0
32.0	20.0
33.0	12.0
34.0	23.0
35.0	15.0
36.0	20.0
37.0	20.0
38.0	18.0
39.0	16.0
40.0	14.0
41.0	8.0
42.0	15.0
43.0	10.0
44.0	17.0
45.0	12.0
46.0	5.0
47.0	14.0
48.0	9.0
49.0	10.0
50.0	313.0
