#Mapping quality	mapping quality
0.0	4493262.0
1.0	3.0183733E7
2.0	6110060.0
3.0	3911404.0
4.0	3067271.0
5.0	2594268.0
6.0	2246319.0
7.0	2094477.0
8.0	1889994.0
9.0	1776066.0
10.0	1635765.0
11.0	1583301.0
12.0	1485586.0
13.0	1394073.0
14.0	1370148.0
15.0	1322482.0
16.0	1223137.0
17.0	1179645.0
18.0	1103329.0
19.0	1039629.0
20.0	1171868.0
21.0	1031926.0
22.0	1032038.0
23.0	992896.0
24.0	1015203.0
25.0	981516.0
26.0	1002504.0
27.0	999720.0
28.0	964896.0
29.0	930843.0
30.0	1153101.0
31.0	960233.0
32.0	903848.0
33.0	936492.0
34.0	984208.0
35.0	1001427.0
36.0	1039707.0
37.0	1013888.0
38.0	1074198.0
39.0	1057162.0
40.0	1240035.0
41.0	1161362.0
42.0	1202177.0
43.0	1276545.0
44.0	1226135.0
45.0	1423012.0
46.0	1443184.0
47.0	1474266.0
48.0	1699057.0
49.0	1680847.0
50.0	2062263.0
51.0	2207670.0
52.0	2634326.0
53.0	3178998.0
54.0	4694742.0
55.0	7708372.0
56.0	1.2501737E7
57.0	1.6515063E7
58.0	2.1204788E7
59.0	3.1724929E7
60.0	2.693577339E9
