#Mapping quality	mapping quality
0.0	6235646.0
1.0	3.2428738E7
2.0	8643634.0
3.0	5495438.0
4.0	3722756.0
5.0	2928994.0
6.0	2291192.0
7.0	2096790.0
8.0	1822524.0
9.0	1729769.0
10.0	1620143.0
11.0	1519316.0
12.0	1453653.0
13.0	1462271.0
14.0	1328436.0
15.0	1274514.0
16.0	1203205.0
17.0	1165819.0
18.0	1103268.0
19.0	1075486.0
20.0	1116654.0
21.0	1017877.0
22.0	1011600.0
23.0	1003357.0
24.0	993530.0
25.0	945559.0
26.0	939460.0
27.0	955834.0
28.0	1014526.0
29.0	1045970.0
30.0	1171699.0
31.0	1008932.0
32.0	1025190.0
33.0	1039255.0
34.0	1036136.0
35.0	1009746.0
36.0	1033656.0
37.0	1055314.0
38.0	1110481.0
39.0	1183088.0
40.0	1279373.0
41.0	1284993.0
42.0	1326367.0
43.0	1407238.0
44.0	1436969.0
45.0	1499722.0
46.0	1509328.0
47.0	1504964.0
48.0	1543271.0
49.0	1633057.0
50.0	1862771.0
51.0	2053681.0
52.0	2326989.0
53.0	2704902.0
54.0	3307845.0
55.0	4371693.0
56.0	6600827.0
57.0	1.1013762E7
58.0	3.4179508E7
59.0	8.2303264E7
60.0	2.664908176E9
