#Coverage (X)	Coverage
1.0	94.4058993669504
2.0	94.28585287445605
3.0	94.18897447643928
4.0	94.10235954411507
5.0	94.02414055265186
6.0	93.94220660351674
7.0	93.85717890630588
8.0	93.76219002483552
9.0	93.6483690229634
10.0	93.50802742975266
11.0	93.32481075067639
12.0	93.08650337701634
13.0	92.78600307963924
14.0	92.41177238673167
15.0	91.95795886185583
16.0	91.41856314588767
17.0	90.79697147993
18.0	90.10773777478376
19.0	89.33636231006682
20.0	88.4867213267594
21.0	87.5500737460924
22.0	86.50269849304588
23.0	85.30802283068297
24.0	83.92745487353808
25.0	82.31498885575647
26.0	80.4071781326837
27.0	78.17181904172642
28.0	75.55361932441386
29.0	72.5406832983506
30.0	69.12975200391074
31.0	65.29588174908497
32.0	61.09388950727448
33.0	56.57026086942091
34.0	51.78989100327521
35.0	46.854259211866406
36.0	41.86775430531503
37.0	36.95528935263434
38.0	32.21394367175402
39.0	27.724429721774513
40.0	23.54305334416958
41.0	19.73662530418683
42.0	16.330534279924706
43.0	13.35292512634473
44.0	10.809926061784381
45.0	8.668324284068433
46.0	6.892811080782664
47.0	5.465609901638302
48.0	4.329812016628011
49.0	3.4511428391137002
50.0	2.7734367529774886
51.0	2.2585735193698895
