#GC Content (%)	Sample
1.0	1.2051045604774777E-5
2.0	3.6153136814324326E-5
3.0	3.9848533504979854E-5
4.0	4.1247574027551776E-5
5.0	4.161421913001891E-5
6.0	4.263696599479563E-5
7.0	4.167211046198739E-5
8.0	4.186508156854904E-5
9.0	4.240540066692165E-5
10.0	4.323517642513673E-5
11.0	4.5878880585031275E-5
12.0	5.533446480655191E-5
13.0	6.59189300014582E-5
14.0	6.109465233741704E-5
15.0	6.304366051368965E-5
16.0	6.659432887442394E-5
17.0	7.151509209174591E-5
18.0	8.105751331121929E-5
19.0	9.077360852659815E-5
20.0	1.0502452474617569E-4
21.0	2.4388653302793596E-4
22.0	8.803631338002121E-4
23.0	5.594425350328672E-4
24.0	5.081122206874694E-4
25.0	0.0010110431671637586
26.0	0.0015917125239184068
27.0	0.003404502396069163
28.0	0.006235967442648191
29.0	0.010403139894625619
30.0	0.0158556349960782
31.0	0.02230765288963281
32.0	0.02901814593187142
33.0	0.035555987725069314
34.0	0.04173342703109736
35.0	0.04798420500617415
36.0	0.054967626732978225
37.0	0.06208675539047178
38.0	0.06580759532152744
39.0	0.0710267208152597
40.0	0.06686333059697089
41.0	0.05784199890510123
42.0	0.05203458169590514
43.0	0.04602651313010627
44.0	0.041253903479847004
45.0	0.03705280670733604
46.0	0.03302806622911175
47.0	0.028915880893949072
48.0	0.02484754824275252
49.0	0.021045525367166362
50.0	0.01764180450407878
51.0	0.01588351932097636
52.0	0.010675393180318115
53.0	0.009887279884009698
54.0	0.008281287498205732
55.0	0.007008739535984958
56.0	0.005991820398626397
57.0	0.005061149697345564
58.0	0.004268810333803447
59.0	0.003652286945449644
60.0	0.003133252560130786
61.0	0.0026905961387890262
62.0	0.0023082721339137665
63.0	0.0019437883078401296
64.0	0.0016194521204866432
65.0	0.0013455199861670591
66.0	0.001134206975926729
67.0	9.671325918656561E-4
68.0	7.992380806016962E-4
69.0	6.33977624942303E-4
70.0	5.417567331164923E-4
71.0	4.622429886577662E-4
72.0	4.0972590200701427E-4
73.0	3.68179222764292E-4
74.0	3.355767543107019E-4
75.0	3.069880848735941E-4
76.0	2.893987685105001E-4
77.0	2.7519609506756294E-4
78.0	2.2277549397009194E-4
79.0	1.9204484525014987E-4
80.0	1.87838075127106E-4
81.0	1.8629430627461278E-4
82.0	1.783921394609134E-4
83.0	1.8829155722752588E-4
84.0	2.2347018995371384E-4
85.0	2.7092178505722255E-4
86.0	3.345636560012533E-4
87.0	4.2723802992748365E-4
88.0	5.267918238026368E-4
89.0	6.360038215612001E-4
90.0	7.291799203644907E-4
91.0	7.93699809843377E-4
92.0	8.343298763299317E-4
93.0	8.377068706947603E-4
94.0	8.182939773746588E-4
95.0	7.864537447919873E-4
96.0	7.476376067071123E-4
97.0	7.015368093495351E-4
98.0	5.815184296235195E-4
99.0	3.4600684262035895E-4
100.0	1.51376184542283E-4
