#Mapping quality	mapping quality
0.0	3783996.0
1.0	4.6641846E7
2.0	5630402.0
3.0	3049044.0
4.0	2342495.0
5.0	1934935.0
6.0	1689416.0
7.0	1556198.0
8.0	1403169.0
9.0	1337352.0
10.0	1213800.0
11.0	1252454.0
12.0	1173376.0
13.0	1095712.0
14.0	1056405.0
15.0	1171606.0
16.0	1130684.0
17.0	1088659.0
18.0	1071285.0
19.0	975907.0
20.0	991312.0
21.0	925753.0
22.0	926168.0
23.0	886913.0
24.0	868192.0
25.0	845741.0
26.0	820179.0
27.0	855095.0
28.0	873439.0
29.0	868169.0
30.0	990923.0
31.0	875747.0
32.0	864559.0
33.0	863009.0
34.0	857452.0
35.0	888741.0
36.0	924988.0
37.0	916660.0
38.0	926927.0
39.0	921006.0
40.0	986241.0
41.0	1009152.0
42.0	1062202.0
43.0	1091409.0
44.0	1138018.0
45.0	1247468.0
46.0	1257699.0
47.0	1367470.0
48.0	1472016.0
49.0	1551875.0
50.0	1674235.0
51.0	1912651.0
52.0	2291933.0
53.0	3126684.0
54.0	4843173.0
55.0	9522202.0
56.0	2.4377194E7
57.0	7.764387E7
58.0	2.6493338E8
59.0	2.8718161E8
60.0	2.144040318E9
