#Duplication rate	Coverage
1.0	8523326.0
2.0	50297.0
3.0	11609.0
4.0	5592.0
5.0	3201.0
6.0	2102.0
7.0	1526.0
8.0	1083.0
9.0	863.0
10.0	640.0
11.0	574.0
12.0	508.0
13.0	399.0
14.0	317.0
15.0	302.0
16.0	236.0
17.0	208.0
18.0	192.0
19.0	184.0
20.0	140.0
21.0	122.0
22.0	125.0
23.0	113.0
24.0	135.0
25.0	101.0
26.0	94.0
27.0	83.0
28.0	92.0
29.0	84.0
30.0	75.0
31.0	63.0
32.0	65.0
33.0	53.0
34.0	53.0
35.0	51.0
36.0	51.0
37.0	31.0
38.0	35.0
39.0	36.0
40.0	31.0
41.0	26.0
42.0	28.0
43.0	35.0
44.0	33.0
45.0	22.0
46.0	18.0
47.0	19.0
48.0	18.0
49.0	12.0
50.0	1012.0
