#Duplication rate	Coverage
1.0	6354568.0
2.0	25950.0
3.0	4214.0
4.0	2075.0
5.0	1206.0
6.0	745.0
7.0	537.0
8.0	360.0
9.0	261.0
10.0	203.0
11.0	160.0
12.0	129.0
13.0	122.0
14.0	99.0
15.0	82.0
16.0	66.0
17.0	49.0
18.0	45.0
19.0	35.0
20.0	35.0
21.0	36.0
22.0	25.0
23.0	40.0
24.0	26.0
25.0	20.0
26.0	27.0
27.0	21.0
28.0	27.0
29.0	19.0
30.0	26.0
31.0	17.0
32.0	20.0
33.0	18.0
34.0	8.0
35.0	9.0
36.0	7.0
37.0	8.0
38.0	8.0
39.0	11.0
40.0	3.0
41.0	0.0
42.0	1.0
43.0	4.0
44.0	3.0
45.0	4.0
46.0	4.0
47.0	2.0
48.0	2.0
49.0	1.0
50.0	31.0
