#Mapping quality	mapping quality
0.0	1.8915944E7
1.0	5.7712851E7
2.0	9417175.0
3.0	7114179.0
4.0	6223101.0
5.0	5691404.0
6.0	5041565.0
7.0	4498651.0
8.0	4085527.0
9.0	3774881.0
10.0	3469706.0
11.0	3291401.0
12.0	3225691.0
13.0	3109559.0
14.0	3018180.0
15.0	2926279.0
16.0	2701954.0
17.0	2534674.0
18.0	2556730.0
19.0	2369082.0
20.0	2424142.0
21.0	2303706.0
22.0	2291874.0
23.0	2186567.0
24.0	2129047.0
25.0	2072530.0
26.0	1949311.0
27.0	1884608.0
28.0	1818638.0
29.0	1693505.0
30.0	1670053.0
31.0	1578747.0
32.0	1575402.0
33.0	1448189.0
34.0	1478545.0
35.0	1428315.0
36.0	1417549.0
37.0	1438712.0
38.0	1398092.0
39.0	1380194.0
40.0	1383874.0
41.0	1305955.0
42.0	1259650.0
43.0	1307946.0
44.0	1287594.0
45.0	1396560.0
46.0	1422751.0
47.0	1411670.0
48.0	1567355.0
49.0	1682232.0
50.0	1876845.0
51.0	1961978.0
52.0	2339282.0
53.0	2930910.0
54.0	4251747.0
55.0	7736642.0
56.0	1.9385234E7
57.0	7.0426015E7
58.0	1.95652852E8
59.0	1.97969705E8
60.0	2.314359563E9
