#GC Content (%)	Sample
1.0	1.1714562958942409E-5
2.0	5.0079756649478796E-5
3.0	7.175169812352226E-5
4.0	8.200194071259687E-5
5.0	8.249004750255281E-5
6.0	8.594584357544082E-5
7.0	9.069024157381248E-5
8.0	9.266219300523446E-5
9.0	9.422413473309344E-5
10.0	1.0051095018772586E-4
11.0	1.0621203749441119E-4
12.0	1.2433056153757547E-4
13.0	1.3631846429889316E-4
14.0	1.3961806619899528E-4
15.0	1.441672214813846E-4
16.0	1.5738515335339128E-4
17.0	1.6703014352292052E-4
18.0	1.8561725008444248E-4
19.0	1.9822992953690382E-4
20.0	2.152160458273703E-4
21.0	3.1683987949619567E-4
22.0	9.479619589092181E-4
23.0	7.051385930419401E-4
24.0	6.737826128551708E-4
25.0	0.0011184478985050265
26.0	0.0015891976110101276
27.0	0.003202527221715676
28.0	0.005736972917882867
29.0	0.009475441394970158
30.0	0.014456180701038497
31.0	0.02038138712139997
32.0	0.026789038292953885
33.0	0.03295550613745478
34.0	0.03903347045880085
35.0	0.045101047867656674
36.0	0.05268113154868474
37.0	0.06099120822049931
38.0	0.06429024391672507
39.0	0.06933055177543965
40.0	0.06596222443931173
41.0	0.0579043037351884
42.0	0.05292241249709577
43.0	0.04692455626211725
44.0	0.042433485687732704
45.0	0.03857943352278385
46.0	0.034711304358012667
47.0	0.03080287709666272
48.0	0.026758131371013873
49.0	0.0228865464101698
50.0	0.01939343945425756
51.0	0.017651132505374055
52.0	0.011977886809987837
53.0	0.011160620325157218
54.0	0.00950076437523307
55.0	0.008063856082689195
56.0	0.007012962163914069
57.0	0.0059912960797215056
58.0	0.005114011983997907
59.0	0.004402664672587727
60.0	0.003818381320738877
61.0	0.0033196728513051
62.0	0.0028859411577502572
63.0	0.0024649002407342692
64.0	0.0020670541583769865
65.0	0.0017585706671248364
66.0	0.001484137505540012
67.0	0.0012884066827676829
68.0	0.00107809122911147
69.0	8.569593289898337E-4
70.0	7.343664276245014E-4
71.0	6.210866038115283E-4
72.0	5.45957206701511E-4
73.0	4.895320617826051E-4
74.0	4.361527032330241E-4
75.0	3.987637231223996E-4
76.0	3.748855389577553E-4
77.0	3.366179666252101E-4
78.0	2.717388121042674E-4
79.0	2.3321742424094514E-4
80.0	2.0793349252122776E-4
81.0	1.9008830828043884E-4
82.0	1.6168049310500345E-4
83.0	1.368456196320456E-4
84.0	1.2837208575841057E-4
85.0	1.1353363934375018E-4
86.0	1.0090143561969063E-4
87.0	9.961283369420694E-5
88.0	9.611798907812247E-5
89.0	9.63913288804978E-5
90.0	1.0138954240964655E-4
91.0	1.1554463931836862E-4
92.0	1.3864185261908344E-4
93.0	1.4996593014606106E-4
94.0	1.3555701770656187E-4
95.0	1.120888432454806E-4
96.0	7.780422231897583E-5
97.0	4.2601960627353896E-5
98.0	2.3682941448661906E-5
99.0	1.716183473485063E-5
100.0	2.3468174461081293E-5
