#Coverage (X)	Coverage
1.0	98.85849685557375
2.0	98.28109917849308
3.0	97.87342586092679
4.0	97.55630722789475
5.0	97.2703687338479
6.0	97.00669767526789
7.0	96.75502244484906
8.0	96.50355454181103
9.0	96.22795300024615
10.0	95.90496661418062
11.0	95.51732196207075
12.0	95.05405202535289
13.0	94.50431749245749
14.0	93.85994598189832
15.0	93.11905897223163
16.0	92.28813368777472
17.0	91.3775890110932
18.0	90.36696179707023
19.0	89.23591619055445
20.0	87.95439584844547
21.0	86.47086260993183
22.0	84.71963485282276
23.0	82.65311280248437
24.0	80.19867929795876
25.0	77.3076614216646
26.0	73.95817469872176
27.0	70.13339940264244
28.0	65.85639622148078
29.0	61.1875410827321
30.0	56.211029818582254
31.0	51.021218778515035
32.0	45.73939329335926
33.0	40.476656266603854
34.0	35.328019167610435
35.0	30.394354899186595
36.0	25.79676841124484
37.0	21.607758813565397
38.0	17.86643662170546
39.0	14.60217130055446
40.0	11.809468241453558
41.0	9.461883274864277
42.0	7.523086856599889
43.0	5.949977635557275
44.0	4.700409095770112
45.0	3.722066954092
46.0	2.968910449254139
47.0	2.396573221963152
48.0	1.9640541093090746
49.0	1.6424910098334493
50.0	1.4015694076429952
51.0	1.2221746998509815
