Sample	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	QUAST_mqc-generalstats-quast-N50	QUAST_mqc-generalstats-quast-Total_length	WhatsHap_mqc-generalstats-whatshap-frac_het_phased	WhatsHap_mqc-generalstats-whatshap-bp_per_block_avg	WhatsHap_mqc-generalstats-whatshap-block_n50
22018LRa001	40.95958105732967	99.12190547483733	97.82991957503681	96.5521230097634	70.17796696220384	2.826688485432807	34	33.45	99.99419477702988	6355976.0	6356345.0	0.0	3097843.0	4478744202.0	0.4851586727182072	229847.792578029	565916
22018LRa001.T2T								33.3762	99.9925118414373	6356227.0	6356703.0	0.0					
22018LRa002	40.67769478182088	96.88417229380755	95.69892640826562	94.78178716182985	42.287309992098365	1.013968062350988	28	28.442	86.04481362364487	6718441.0	7808072.0	0.0	40580426.0	3060633755.0	0.5195034029456638	123898.74305833859	195211
22018LRa002.T2T								27.9747	83.69533636427079	6536158.0	7809465.0	0.0					
22018LRa003	40.830778299906534	97.29127107425644	96.21520206157648	95.2521130302686	68.08680208139752	2.424709244520678	33	33.3546	87.18569333612302	7413158.0	8502723.0	0.0	28250243.0	3577452641.0	0.5363728349587801	210233.15105115046	432477
22018LRa003.T2T								32.8752	85.02824141263271	7230953.0	8504178.0	0.0					
22018LRa004	40.896831906605875	96.8975384138452	95.99570684437022	95.18319064661785	44.46278866003082	1.2741323914508915	29	28.6169	99.99234590120216	5369261.0	5369672.0	0.0	73033016.0	3090513831.0	0.5559667290042344	148559.08815789473	261415
22018LRa004.T2T								28.5649	99.9932961905044	5369721.0	5370081.0	0.0					
22018LRa005	41.18657145977188	97.25886548064135	96.26043824632704	95.56664432152486	88.65397713599548	16.109869133949967	41	41.4398	92.28522437368578	9236638.0	10008794.0	0.0	88228977.0	3059874868.0	0.5415094602129524	152586.17523332883	269084
22018LRa005.T2T								40.9068	90.53355456969295	9062780.0	10010410.0	0.0					
22018LRa006	41.39023308075433	96.8070865108254	95.0587695493031	90.43408887252582	1.0909553303422095	0.2646500172183096	16	16.9875	61.20912676323474	4311536.0	7043943.0	0.0					
22018LRa006.T2T								16.382	56.48671946669278	3980814.0	7047345.0	0.0					
22018LRa007	41.01663546159801	98.85849685557375	97.2703687338479	95.90496661418062	56.211029818582254	1.401569407642961	31	30.9678	85.08002421202704	6388374.0	7508665.0	0.0	51393214.0	3083838813.0	0.41420600237460964	154410.1946996937	285995
22018LRa007.T2T								30.5048	82.60528027363318	6204305.0	7510785.0	0.0					
22018LRa008	41.42095723350534	98.96923896515094	97.57971392138434	96.60768212841859	84.58037282980673	10.711529991477507	40	39.1915	89.53243925984948	8072345.0	9016112.0	0.0	83600706.0	3088136382.0	0.4831841210928927	160081.50691720008	296434
22018LRa008.T2T								38.777	87.93956497284408	7929996.0	9017552.0	0.0					
