Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
22018LRa001	pacbio/alignment_GRCh38/22018LRa001/22018LRa001.GRCh38.bam	6356345.0	6355976.0	103886084151.0	103446706504.0	0.0	0.0	35.0342	0.0	33.45	99.99419477702988
22018LRa001.T2T	pacbio/alignment_T2T/22018LRa001/22018LRa001.T2T.bam	6356703.0	6356227.0	104043466634.0	103701987385.0	0.0	0.0	55.1942	0.0	33.3762	99.9925118414373
22018LRa002	pacbio/alignment_GRCh38/22018LRa002/22018LRa002.GRCh38.bam	7808072.0	6718441.0	88332857286.0	87620957429.0	0.0	0.0	34.1543	0.0	28.442	86.04481362364487
22018LRa002.T2T	pacbio/alignment_T2T/22018LRa002/22018LRa002.T2T.bam	7809465.0	6536158.0	87205289861.0	86572845759.0	0.0	0.0	54.3101	0.0	27.9747	83.69533636427079
22018LRa003	pacbio/alignment_GRCh38/22018LRa003/22018LRa003.GRCh38.bam	8502723.0	7413158.0	103590021080.0	102831497211.0	0.0	0.0	35.3174	0.0	33.3546	87.18569333612302
22018LRa003.T2T	pacbio/alignment_T2T/22018LRa003/22018LRa003.T2T.bam	8504178.0	7230953.0	102481606859.0	101810668225.0	0.0	0.0	54.4864	0.0	32.8752	85.02824141263271
22018LRa004	pacbio/alignment_GRCh38/22018LRa004/22018LRa004.GRCh38.bam	5369672.0	5369261.0	88876056586.0	88488861993.0	0.0	0.0	32.6051	0.0	28.6169	99.99234590120216
22018LRa004.T2T	pacbio/alignment_T2T/22018LRa004/22018LRa004.T2T.bam	5370081.0	5369721.0	89044991123.0	88743525011.0	0.0	0.0	54.7128	0.0	28.5649	99.9932961905044
22018LRa005	pacbio/alignment_GRCh38/22018LRa005/22018LRa005.GRCh38.bam	10008794.0	9236638.0	128700155373.0	127503467612.0	0.0	0.0	35.4665	0.0	41.4398	92.28522437368578
22018LRa005.T2T	pacbio/alignment_T2T/22018LRa005/22018LRa005.T2T.bam	10010410.0	9062780.0	127518387043.0	126440842538.0	0.0	0.0	54.2548	0.0	40.9068	90.53355456969295
22018LRa006	pacbio/alignment_GRCh38/22018LRa006/22018LRa006.GRCh38.bam	7043943.0	4311536.0	52758340355.0	52357913326.0	0.0	0.0	34.2441	0.0	16.9875	61.20912676323474
22018LRa006.T2T	pacbio/alignment_T2T/22018LRa006/22018LRa006.T2T.bam	7047345.0	3980814.0	51067416596.0	50726371769.0	0.0	0.0	54.2192	0.0	16.382	56.48671946669278
22018LRa007	pacbio/alignment_GRCh38/22018LRa007/22018LRa007.GRCh38.bam	7508665.0	6388374.0	96177222362.0	95169711286.0	0.0	0.0	34.9524	0.0	30.9678	85.08002421202704
22018LRa007.T2T	pacbio/alignment_T2T/22018LRa007/22018LRa007.T2T.bam	7510785.0	6204305.0	95092295999.0	94165114845.0	0.0	0.0	54.3896	0.0	30.5048	82.60528027363318
22018LRa008	pacbio/alignment_GRCh38/22018LRa008/22018LRa008.GRCh38.bam	9016112.0	8072345.0	121717491503.0	120610835253.0	0.0	0.0	34.9674	0.0	39.1915	89.53243925984948
22018LRa008.T2T	pacbio/alignment_T2T/22018LRa008/22018LRa008.T2T.bam	9017552.0	7929996.0	120879220297.0	119884844313.0	0.0	0.0	54.9768	0.0	38.777	87.93956497284408
