#sample	chromosome	phase_set	from	to	variants
22018LRa003	chr1	1	247412571	247412571	1
22018LRa003	chr1	3264	3264	507665	1014
22018LRa003	chr1	507696	507696	703263	306
22018LRa003	chr1	713335	717464	924535	188
22018LRa003	chr1	941580	941580	1443927	772
22018LRa003	chr1	1454414	1454414	1469505	22
22018LRa003	chr1	1475840	1475840	1520947	27
22018LRa003	chr1	1540350	1540350	2123982	830
22018LRa003	chr1	2124112	2124112	2166217	120
22018LRa003	chr1	2166244	2166244	2197527	100
22018LRa003	chr1	2197628	2197630	2705102	895
22018LRa003	chr1	2721115	2721115	2796513	90
22018LRa003	chr1	2826181	2826181	2855437	30
22018LRa003	chr1	2862960	2862960	3950998	1758
22018LRa003	chr1	3955355	3955355	4041372	148
22018LRa003	chr1	4086227	4086227	4333276	282
22018LRa003	chr1	4361559	4361559	4725669	503
22018LRa003	chr1	4747570	4747570	4997677	412
22018LRa003	chr1	5033708	5033708	5181152	132
22018LRa003	chr1	5205911	5205911	5309415	40
22018LRa003	chr1	5337453	5337453	5342090	2
22018LRa003	chr1	5358082	5358082	5570659	384
22018LRa003	chr1	5597930	5597930	5742274	216
22018LRa003	chr1	5759656	5759656	6120786	402
22018LRa003	chr1	6162449	6162449	6178376	6
22018LRa003	chr1	6218750	6218750	6279475	18
22018LRa003	chr1	6295311	6295311	6357837	8
22018LRa003	chr1	6386172	6386172	6475122	27
22018LRa003	chr1	6476005	6476005	6840026	453
22018LRa003	chr1	6848821	6848821	6884054	35
22018LRa003	chr1	6907229	6907229	6918531	2
22018LRa003	chr1	6939133	6939133	7109589	235
22018LRa003	chr1	7130807	7130807	7157377	5
22018LRa003	chr1	7178262	7178262	7394214	235
22018LRa003	chr1	7396137	7396619	7444443	48
22018LRa003	chr1	7460364	7460364	7781032	381
22018LRa003	chr1	7808450	7808450	8776900	940
22018LRa003	chr1	8780030	8780030	9021134	329
22018LRa003	chr1	9022783	9023795	9289582	219
22018LRa003	chr1	9319935	9319935	9509248	65
22018LRa003	chr1	9529465	9529465	9590722	7
22018LRa003	chr1	9614424	9614424	10155969	533
22018LRa003	chr1	10183986	10183986	10589816	419
22018LRa003	chr1	10625063	10625063	10637755	2
22018LRa003	chr1	10696108	10696108	10702349	2
22018LRa003	chr1	10783491	10783491	10793001	2
22018LRa003	chr1	10815348	10815348	10816655	2
22018LRa003	chr1	10860299	10860299	11158416	381
22018LRa003	chr1	11187763	11187763	11641369	515
22018LRa003	chr1	11661922	11661922	11742157	97
22018LRa003	chr1	11742284	11742284	11774267	25
22018LRa003	chr1	11792761	11792761	11799963	2
