#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
22018LRa003	chr1	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	1360049	264029	382755	6	1184	60.0	222.99746621621622	2	4956	264029	52856.0	179847.4358108108	9	2505376	212939364	646790	569559	263374	0.4082144127151007	0.4624174141748265	441705
22018LRa003	chr2	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	749146	228760	134304	4	961	42	238.04370447450572	2	2807	228760	69849	220757.35379812695	2	2537453	212147817	363068	301166	228067	0.630074806923221	0.7572800382513298	523302
22018LRa003	chr3	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	621311	212520	132625	3	721	81	294.75728155339806	2	3691	212520	85030	249009.31900138696	6	3273862	179535719	345148	291200	212047	0.6157358582405229	0.7281833791208792	589622
22018LRa003	chr4	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	687588	199581	188434	5	825	46	241.91636363636363	2	3881	199581	67548	199966.10666666666	29	2327194	164972038	388020	331779	199098	0.5143575073449822	0.6000922300688109	426889
22018LRa003	chr5	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	718495	191688	141875	3	698	77.0	274.62464183381087	2	4186	191688	85941.0	231836.03151862463	1	3047693	161821550	333566	284456	191222	0.5746628853060564	0.6722375341001772	506007
22018LRa003	chr6	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	516731	191696	89196	3	548	122.5	349.81021897810217	2	5139	191696	111291.5	281807.31934306567	4	2675112	154430411	280895	228459	191169	0.6824471777710532	0.8367759641773798	626005
22018LRa003	chr7	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	548255	177212	100965	3	555	82	319.3009009009009	2	5434	177212	101708	258420.66486486487	4	3307781	143423469	278180	229913	176660	0.6370407649723201	0.76837760370227	558525
22018LRa003	chrX	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	362461	101729	76261	7	952	9.0	106.85819327731092	2	2650	101729	39074.0	123544.74054621848	1	2522721	117614593	177997	143673	101420	0.5715208683292415	0.70590855623534	222574
22018LRa003	chr9	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	1629022	148358	549876	11	982	36.0	151.0773930753564	2	2259	148358	32668.5	125831.19755600815	2	1692323	123566236	698245	586858	148038	0.21247269941066532	0.25225523039645026	317158
22018LRa003	chr8	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	460550	157535	84960	3	598	43.0	263.4364548494983	2	4478	157535	60100.0	212353.23076923078	41	3256702	126987232	242498	203128	157168	0.6496342237874126	0.7737387263203497	513995
22018LRa003	chr11	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	486195	150486	108305	2	508	82.0	296.23228346456693	2	3545	150486	91906.5	238725.3307086614	5	2223426	121272468	258793	222685	150088	0.5814917714157647	0.6739924108044997	496058
22018LRa003	chr10	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	578283	144743	121403	5	529	59	273.6162570888469	2	4402	144743	74969	221720.18903591682	1	1960261	117289980	266151	225416	144331	0.5438378965324195	0.6402872910529864	491472
22018LRa003	chr12	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	508855	145660	101199	3	477	97	305.3668763102725	2	3248	145660	118525	251032.0754716981	2	2288670	119742300	246862	207044	145284	0.5900462606638527	0.701705917582736	496473
22018LRa003	chr13	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	566816	118772	172745	2	487	76	243.88501026694044	2	2977	118772	65596	199979.5092402464	1	2682361	97390021	291519	248170	118415	0.4074245589481303	0.47715275818995045	438493
22018LRa003	chr14	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	402629	119457	89737	3	416	70.0	287.15625	2	2907	119457	68771.5	210155.7860576923	2	1616945	87424807	209197	178028	119170	0.5710263531503798	0.6693890848630553	460165
22018LRa003	chr15	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	518249	116582	160723	7	506	90.0	230.399209486166	2	4187	116582	49215.0	168465.99604743082	1	2728521	85243794	277312	235734	116445	0.420400126932841	0.493967777240449	424628
22018LRa003	chr16	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	499642	103635	116438	8	508	46.0	204.00590551181102	2	5026	103635	50291.5	159610.57086614173	19	2541846	81082170	220081	185726	103473	0.4708948069120006	0.5571271658249249	343970
22018LRa003	chr17	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	333856	79875	63187	3	414	43.0	192.93478260869566	2	2067	79875	59763.0	174721.35990338164	2	1693578	72334643	143065	114258	79683	0.5583126550868487	0.6973953683768314	383022
22018LRa003	chr18	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	293532	84250	61582	2	328	57.5	256.859756097561	2	4402	84250	77650.0	213571.01219512196	46	2882310	70051292	145834	125156	84024	0.5777116447467668	0.671354150020774	502544
22018LRa003	chr20	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	366272	71606	88230	3	316	62.5	226.6012658227848	2	2785	71606	71953.5	180786.16455696203	258	1703354	57128428	159839	136637	71378	0.44798828821501635	0.5223914459480229	341860
22018LRa003	chrY	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	27637	2457	9302	3	40	40.5	61.425	2	350	2457	28472.5	46574.85	687	311170	1862994	11762	7780	2442	0.2088930454004421	0.31388174807197944	0
22018LRa003	chr19	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	526504	77017	163038	3	311	98	247.64308681672026	2	2370	77017	79622	175877.29260450162	35	1333210	54697838	240058	208987	76867	0.32082663356355545	0.3678075669778503	387204
22018LRa003	chr22	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	383363	65359	119799	2	244	102.5	267.86475409836066	2	2374	65359	61606.5	179308.7786885246	7	1625488	43751342	185160	159822	65158	0.35298660617844024	0.4076910563001339	459330
22018LRa003	chr21	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	267926	55360	74921	2	175	114	316.34285714285716	2	2483	55360	103858	220002.52	535	1679136	38500441	130283	113495	55156	0.42492113322536323	0.4859773558306533	381787
22018LRa003	chrM	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	128	91	16	0	1	91	91.0	91	91	91	9659	9659.0	9659	9659	9659	107	100	91	0.8504672897196262	0.91	9659
22018LRa003	ALL	pacbio/phasing/22018LRa003_T2T/22018LRa003.phased.renamed.vcf.gz	13413495	3208458	3331876	96	13284	56.0	241.52800361336946	2	5434	3208458	63836.5	199128.32023486902	1	3307781	2645220606	6540430	5539229	3200268	0.4905576544661437	0.5777461087093528	450508
