#sample	chromosome	phase_set	from	to	variants
22018LRa007	chr1	1	248371433	248371433	1
22018LRa007	chr1	10200	10200	179371	345
22018LRa007	chr1	181169	181549	204487	185
22018LRa007	chr1	257733	257733	282728	69
22018LRa007	chr1	379931	379931	398578	66
22018LRa007	chr1	408847	408847	433517	47
22018LRa007	chr1	434633	434633	489177	115
22018LRa007	chr1	492489	492489	532996	38
22018LRa007	chr1	591309	591309	660976	64
22018LRa007	chr1	683358	683358	772506	120
22018LRa007	chr1	813542	813542	1079285	310
22018LRa007	chr1	1139630	1139630	1216162	102
22018LRa007	chr1	1237418	1237418	1248864	3
22018LRa007	chr1	1275031	1275031	1290841	13
22018LRa007	chr1	1339097	1339097	1363453	9
22018LRa007	chr1	1382529	1382529	1398056	3
22018LRa007	chr1	1432219	1432219	1555334	82
22018LRa007	chr1	1580591	1580591	1679085	81
22018LRa007	chr1	1696079	1696079	1743568	8
22018LRa007	chr1	1824742	1824742	1848358	3
22018LRa007	chr1	1929135	1929135	1930586	4
22018LRa007	chr1	1942516	1942516	1955390	3
22018LRa007	chr1	1980742	1980742	2321066	401
22018LRa007	chr1	2333587	2333587	2693828	446
22018LRa007	chr1	2753649	2753649	2810257	77
22018LRa007	chr1	2837947	2837947	2983398	262
22018LRa007	chr1	3069321	3069321	3098129	19
22018LRa007	chr1	3128088	3128088	3514082	342
22018LRa007	chr1	3539699	3539699	3727521	220
22018LRa007	chr1	3741195	3741195	3918630	206
22018LRa007	chr1	3939577	3939577	3953894	13
22018LRa007	chr1	3995298	3995298	3998013	3
22018LRa007	chr1	4022664	4022664	4026325	2
22018LRa007	chr1	4059518	4059518	5411420	1903
22018LRa007	chr1	5456901	5456901	5745154	294
22018LRa007	chr1	5790096	5790096	5859354	13
22018LRa007	chr1	5947414	5947414	6166880	233
22018LRa007	chr1	6188122	6188122	7265195	1033
22018LRa007	chr1	7299418	7299418	7352901	45
22018LRa007	chr1	7377845	7377845	7548495	244
22018LRa007	chr1	7548993	7548993	7608286	16
22018LRa007	chr1	7642513	7642513	9183752	1645
22018LRa007	chr1	9261667	9261667	9666217	320
22018LRa007	chr1	9690768	9690768	9699332	2
22018LRa007	chr1	9750719	9750719	9755379	2
22018LRa007	chr1	9777155	9777155	9777981	2
22018LRa007	chr1	9815944	9815944	9819292	2
22018LRa007	chr1	9897352	9897352	9938844	5
22018LRa007	chr1	9986402	9986402	10067158	8
22018LRa007	chr1	10120980	10120980	10682063	583
22018LRa007	chr1	10729577	10729577	10768433	37
22018LRa007	chr1	10806814	10806814	10868149	62
22018LRa007	chr1	10917589	10917589	11050482	70
22018LRa007	chr1	11069244	11069244	11076483	2
22018LRa007	chr1	11122841	11122841	11154523	6
22018LRa007	chr1	11238755	11238755	11270846	4
22018LRa007	chr1	11328222	11328222	11356859	29
22018LRa007	chr1	11386944	11386944	11465196	15
22018LRa007	chr1	11465214	11465214	11465216	2
22018LRa007	chr1	11522639	11522639	11539380	10
22018LRa007	chr1	11576982	11576982	11594986	3
22018LRa007	chr1	11616011	11616011	11889585	283
22018LRa007	chr1	11904643	11904643	11909931	4
22018LRa007	chr1	12008813	12008813	12068441	41
22018LRa007	chr1	12098510	12098510	12219233	146
22018LRa007	chr1	12238360	12238360	12245229	4
22018LRa007	chr1	12271558	12271558	12275284	2
22018LRa007	chr1	12308279	12308279	12351716	9
22018LRa007	chr1	12372331	12372331	12426266	11
22018LRa007	chr1	12457020	12457020	12544774	41
22018LRa007	chr1	12569079	12569079	12758012	209
22018LRa007	chr1	12794687	12794687	12950321	150
22018LRa007	chr1	13015773	13015773	13523543	593
22018LRa007	chr1	13569648	13569648	13636859	81
22018LRa007	chr1	13663796	13663796	14081307	522
22018LRa007	chr1	14114358	14114358	15061184	1074
22018LRa007	chr1	15099154	15099154	15132683	32
22018LRa007	chr1	15164369	15164369	15167329	2
22018LRa007	chr1	15183835	15183835	15427988	363
22018LRa007	chr1	15455593	15455593	15597035	221
22018LRa007	chr1	15633391	15633391	15822609	65
22018LRa007	chr1	15844408	15844408	15864717	3
22018LRa007	chr1	15919523	15919523	16014016	9
22018LRa007	chr1	16040231	16040231	16060369	6
22018LRa007	chr1	16085085	16085085	16154871	86
22018LRa007	chr1	16184005	16184005	16431074	320
22018LRa007	chr1	16455384	16455384	16561927	66
22018LRa007	chr1	16563034	16563034	16798392	855
22018LRa007	chr1	16852004	16852004	17103279	604
22018LRa007	chr1	17173811	17173811	17187538	3
22018LRa007	chr1	17210457	17210457	17355605	156
22018LRa007	chr1	17553151	17553151	17596248	22
22018LRa007	chr1	17645900	17645900	17680431	7
22018LRa007	chr1	17727433	17727433	17806695	63
22018LRa007	chr1	17998064	17998064	18402450	309
22018LRa007	chr1	18430575	18430575	18595728	209
